epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,8365.6,1.39968,0.91982,1.20883,0.86545,0.78992,0.85605,0.51198,1.48302,0.89906,1.26392,0.0005281,0.0005281,0.0005281
145,8421.78,1.39179,0.90569,1.20397,0.86525,0.79551,0.85754,0.51388,1.48203,0.90065,1.26369,0.0005248,0.0005248,0.0005248
146,8479.75,1.3827,0.89958,1.20949,0.86655,0.80177,0.85833,0.51279,1.47994,0.89474,1.26215,0.0005215,0.0005215,0.0005215
147,8533.8,1.39756,0.90733,1.20186,0.86271,0.80042,0.85743,0.51188,1.47989,0.89496,1.26121,0.0005182,0.0005182,0.0005182
148,8589.94,1.37941,0.896,1.20352,0.86314,0.79433,0.85881,0.51292,1.48042,0.8926,1.25989,0.0005149,0.0005149,0.0005149
149,8646.08,1.38672,0.89677,1.20173,0.8771,0.793,0.85834,0.51453,1.47816,0.89053,1.25878,0.0005116,0.0005116,0.0005116
150,8703.04,1.3786,0.89399,1.20079,0.8713,0.79372,0.85885,0.51482,1.47772,0.88881,1.25771,0.0005083,0.0005083,0.0005083
151,8759.28,1.37868,0.89089,1.20234,0.87554,0.78824,0.85887,0.51487,1.47735,0.88585,1.25932,0.000505,0.000505,0.000505
152,8815.79,1.37057,0.88678,1.20009,0.87812,0.78822,0.859,0.51678,1.47743,0.88595,1.25922,0.0005017,0.0005017,0.0005017
153,8876.81,1.37156,0.8979,1.20194,0.87412,0.78883,0.85945,0.51854,1.47287,0.88327,1.2564,0.0004984,0.0004984,0.0004984
154,8932.77,1.36246,0.87786,1.19262,0.87669,0.78738,0.86129,0.51787,1.47407,0.88325,1.25699,0.0004951,0.0004951,0.0004951
155,8989.27,1.38297,0.88969,1.19412,0.87584,0.78647,0.86294,0.51771,1.47376,0.88123,1.25591,0.0004918,0.0004918,0.0004918
156,9045.07,1.37246,0.89633,1.19986,0.87496,0.79215,0.86334,0.5189,1.47234,0.88098,1.25555,0.0004885,0.0004885,0.0004885
157,9100.58,1.36828,0.88567,1.18865,0.87572,0.79372,0.86347,0.51867,1.47151,0.87906,1.25535,0.0004852,0.0004852,0.0004852
158,9157.62,1.36394,0.88381,1.19367,0.87413,0.79822,0.86392,0.5194,1.47138,0.87818,1.25462,0.0004819,0.0004819,0.0004819
159,9214.05,1.36571,0.87423,1.19046,0.87033,0.79636,0.8649,0.52071,1.46775,0.87525,1.25166,0.0004786,0.0004786,0.0004786
160,9271.65,1.35142,0.86073,1.18049,0.86877,0.79733,0.86274,0.52152,1.46752,0.87398,1.25077,0.0004753,0.0004753,0.0004753
161,9327.94,1.35842,0.86797,1.1836,0.86622,0.80312,0.86571,0.52205,1.46666,0.8731,1.25019,0.000472,0.000472,0.000472
